BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PAYMENTS,CREDIT_LIMIT,Cluster,Cluster_Name
40.900749,95.4,95.4,0.0,201.802084,1000.0,0,Low spenders
3202.467416,0.0,0.0,6442.945483,4103.032597,7000.0,0,Low spenders
2495.148862,773.17,0.0,0.0,622.066742,7500.0,0,Low spenders
817.714335,16.0,0.0,0.0,678.334763,1200.0,0,Low spenders
1809.828751,1333.28,1333.28,0.0,1400.05777,1800.0,0,Low spenders
627.260806,7091.01,688.38,0.0,6354.314328,13500.0,0,Low spenders
1823.652743,436.2,436.2,0.0,679.065082,2300.0,0,Low spenders
1014.926473,861.49,200.0,0.0,688.278568,7000.0,0,Low spenders
152.225975,1281.6,0.0,0.0,1164.770591,11000.0,0,Low spenders
1293.124939,920.12,920.12,0.0,1083.301007,1200.0,0,Low spenders
630.794744,1492.18,0.0,0.0,705.618627,2000.0,0,Low spenders
1516.92862,3217.99,717.76,0.0,608.263689,3000.0,0,Low spenders
921.693369,2137.93,1717.97,0.0,1655.891435,7500.0,0,Low spenders
2772.772734,0.0,0.0,346.81139,805.647974,3000.0,0,Low spenders
6886.213231,1611.7,1611.7,2301.491267,1993.439277,8000.0,0,Low spenders
2072.074354,0.0,0.0,2784.274703,391.974562,3000.0,0,Low spenders
41.089489,519.0,519.0,0.0,254.590662,2500.0,0,Low spenders
1989.072228,504.35,338.35,0.0,1720.837373,13000.0,0,Low spenders
3577.970933,398.64,398.64,0.0,1053.980464,4000.0,0,Low spenders
2016.684686,176.68,176.68,0.0,223.0686,2000.0,0,Low spenders
6369.531318,6359.95,449.91,229.028245,2077.959051,11250.0,0,Low spenders
132.34224,815.9,815.9,0.0,2359.629958,1800.0,0,Low spenders
3800.151377,4248.35,793.79,7974.415626,9479.043842,9000.0,2,Cash Advance–Dependent Customers
5368.571219,0.0,0.0,798.949863,1422.726707,6000.0,0,Low spenders
169.781679,399.6,399.6,0.0,215.306142,3000.0,0,Low spenders
1615.96724,102.0,0.0,244.840485,890.178845,1700.0,0,Low spenders
125.694817,233.28,233.28,0.0,207.773715,1000.0,0,Low spenders
7152.864372,387.05,182.5,2236.145259,1601.448347,10500.0,0,Low spenders
22.06349,100.0,100.0,0.0,160.767773,6900.0,0,Low spenders
12136.21996,3038.01,2024.81,3183.583301,4230.323491,13000.0,0,Low spenders
1162.273324,1347.71,947.71,175.815755,645.998299,6000.0,0,Low spenders
6732.823064,324.95,0.0,1189.533753,1720.118876,10500.0,0,Low spenders
125.660453,636.79,0.0,0.0,423.449696,1200.0,0,Low spenders
3517.101616,547.28,547.28,0.0,8735.607835,11000.0,0,Low spenders
1656.350781,0.0,0.0,99.264367,351.500199,1800.0,0,Low spenders
7427.076941,0.0,0.0,8873.375046,1636.361601,9000.0,0,Low spenders
4047.480828,2380.55,738.38,1697.660901,1617.894416,5000.0,0,Low spenders
